orbital_period,transit_depth,planet_radius,koi_teq,koi_insol,stellar_teff,stellar_density,disposition
9.48803557,615.8,2.26,793.0,93.59,5455.0,1.1536559464273712,CONFIRMED
54.4183827,874.8,2.83,443.0,9.11,5455.0,1.1536559464273712,CONFIRMED
19.89913995,10829.0,14.6,638.0,39.3,5853.0,1.4694818019373648,CANDIDATE
1.736952453,8079.2,33.46,1395.0,891.96,5805.0,1.6891834859013215,FALSE POSITIVE
2.525591777,603.3,2.75,1406.0,926.16,6031.0,0.9567953711333922,CONFIRMED
11.09432054,1517.5,3.9,835.0,114.81,6046.0,1.1466465703624673,CONFIRMED
4.13443512,686.0,2.77,1160.0,427.65,6046.0,1.1466465703624673,CONFIRMED
2.56658897,226.5,1.59,1360.0,807.74,6046.0,1.1466465703624673,CONFIRMED
7.36178958,233.7,39.21,1342.0,767.22,6227.0,0.1809096392224946,FALSE POSITIVE
16.06864674,4914.3,5.76,600.0,30.75,5031.0,1.3135450111501443,CONFIRMED
2.470613377,14230.9,13.04,1339.0,761.46,5820.0,1.0838972843834276,CONFIRMED
2.204735417,6674.7,16.1,2048.0,4148.92,6440.0,0.1948179394007648,CONFIRMED
3.522498429,9145.7,14.59,1521.0,1264.67,6225.0,0.3705477576826022,CONFIRMED
3.709214104,131.1,1.16,1206.0,500.46,5833.0,0.9124441045547478,CONFIRMED
11.521446064,17984.3,150.51,753.0,75.88,5795.0,1.5382087646177718,FALSE POSITIVE
19.40393776,8918.7,7.18,523.0,17.69,5043.0,2.0894819865662524,FALSE POSITIVE
19.221388942,74284.0,49.29,698.0,55.97,6117.0,1.2069073395877408,FALSE POSITIVE
16.46983774,10478.9,7.94,595.0,29.61,5152.0,1.5259860724301442,FALSE POSITIVE
9.27358173,1288.3,2.47,649.0,41.85,4856.0,2.005021237564598,CONFIRMED
6.02930329,1912.7,2.85,678.0,50.04,4537.0,2.5077072619722487,CONFIRMED
2.696370652,397.9,1.58,1066.0,305.34,4989.0,1.4216717334519358,FALSE POSITIVE
5.349553819,831.0,2.55,919.0,168.99,5185.0,1.1027494423219577,CONFIRMED
3.94105221,363.3,1.7,1018.0,253.15,5185.0,1.1027494423219577,CONFIRMED
8.10904807,217.4,1.3,800.0,97.03,5185.0,1.1027494423219577,CONFIRMED
386.6030528,24926.6,41.5,297.0,1.84,5543.0,0.2796431925263518,FALSE POSITIVE
21.67699193,857.2,2.95,530.0,18.64,4954.0,1.3934310159832142,CONFIRMED
4.99677968,934.7,2.78,917.0,166.95,5339.0,1.532143524431682,CONFIRMED
4.280963604,750.8,2.3,1012.0,247.87,5644.0,1.617129891694416,CONFIRMED
1.50635409,2211.7,4.53,1452.0,1054.12,5714.0,1.613644697962316,FALSE POSITIVE
494.1022581499994,18090.6,14.14,214.0,0.49,5520.0,1.08436794572263,FALSE POSITIVE
61.2563628,5123.3,39.87,505.0,15.43,6144.0,0.8416778731814472,FALSE POSITIVE
38.3775486,724.2,2.82,529.0,18.53,5481.0,0.822890081771136,CONFIRMED
41.19725502,2213.9,3.86,439.0,8.76,5031.0,1.3135450111501443,CONFIRMED
6.252962249,1036.9,2.65,823.0,108.3,5031.0,1.3135450111501443,CONFIRMED
16.01308419,1121.9,3.1,593.0,29.31,5015.0,1.392930714440942,CONFIRMED
32.62876672,1804.8,3.36,506.0,15.55,5586.0,1.660862856193882,CONFIRMED
91.7732862,652.0,2.12,359.0,3.92,5586.0,1.660862856193882,CONFIRMED
4.959319244,9802.0,12.21,1103.0,349.4,5712.0,0.7704918253311955,CONFIRMED
2.701287801,860.4,6.54,1222.0,527.81,5550.0,1.179716310739134,FALSE POSITIVE
4.49876511,460.0,2.1,1133.0,389.62,6075.0,1.1518341526231846,CONFIRMED
19.651209505,11766.3,12.42,730.0,67.03,6074.0,0.8441860309045833,FALSE POSITIVE
5.412203927,601.6,2.94,1093.0,337.68,5779.0,0.732657485584927,CONFIRMED
41.43958662,2793.1,5.5,516.0,16.72,5468.0,0.8126207261680867,CONFIRMED
8.35389523,1041.6,2.52,790.0,91.9,5592.0,1.7684104343084113,CONFIRMED
4.125543472,1487.3,4.43,1243.0,565.35,6174.0,0.8659236291262898,CONFIRMED
2.816504904,16813.7,12.21,1219.0,521.13,5532.0,1.0803873952316283,CONFIRMED
33.93373447,8503.7,7.34,430.0,8.11,5040.0,2.2317184410362225,FALSE POSITIVE
3.689920099,426.7,1.89,1147.0,408.99,5880.0,1.3098252757535922,CONFIRMED
4.431238488,1010.9,3.25,1104.0,351.23,5714.0,0.9630112126972122,CONFIRMED
11.37936986,1023.5,3.95,806.0,99.68,5714.0,0.9630112126972122,CONFIRMED
