pl_name,pl_letter,pl_orbper,pl_trandep,pl_rade,pl_eqt,pl_trandur,st_rad,st_mass,st_teff,st_logg,ra,dec,stellar_density
EPIC 220192485.01,,50.69369,1.1041,8.85,809.0,4.4328,0.781,0.88,5293.0,4.4905,19.1306968,-0.290103,1.8472665684859877
K2-151 b,b,3.835376,0.1357,1.5,809.0,1.5408,0.45,0.88,5293.0,4.4905,19.3047733,9.5012663,9.657064471879286
K2-369 b,b,5.7619248,0.0226,1.37,809.0,2.2,0.83,0.88,5350.0,4.4905,329.7262534,-10.8750666,1.539034640521733
K2-232 b,b,11.168459,0.7764,11.859122,1001.0,5.03016,1.233,1.039,5888.0,4.273,73.7667927,18.654323,0.5542763109031253
EPIC 211946007.01,,1.982809,21.3762,2.6,809.0,1.3632,0.291,0.88,3330.0,4.958,130.6641653,19.4143598,35.71113924986562
K2-274 b,b,14.130142,0.0942,2.41,809.0,2.7888,0.794,0.88,5293.0,4.4905,129.2823699,20.3992512,1.7580092865402188
EPIC 211946007.01,,1.9828041248,13.21050435,10.89107018,543.47,1.1139386,0.293047,0.88,3213.0,4.93347,130.6641653,19.4143598,34.96800317327902
K2-283 b,b,1.921076,0.1357,3.8,809.0,1.7496,0.86,0.88,5293.0,4.4905,13.1943679,9.6929181,1.3835259788446301
K2-381 b,b,7.939256,0.1357,1.08322371,809.0,2.7888,0.645652,0.88,4661.0,4.66,288.0267612,-21.0075789,3.269543878923782
K2-381 c,c,16.034656,0.1357,2.0,809.0,2.7888,0.675,0.754,4473.0,4.653,288.0267612,-21.0075789,2.4516587918508352
K2-277 b,b,6.3297696,0.042,2.6,809.0,2.486,0.975383,1.008,5673.0,4.46318,202.0161895,-15.9379749,1.0862629980012897
K2-73 b,b,7.49543,0.1357,2.45,809.0,3.62,1.06,1.05,5922.0,4.409,335.025662,-9.0560881,0.8816002471839169
K2-85 b,b,0.684557,0.1357,1.37,809.0,2.7888,0.675849,0.69834,4376.21,4.4905,59.464829,18.4649505,2.2621317325838475
K2-73 b,b,7.495,0.1357,2.6,809.0,3.528,1.05721,1.061,5865.0,4.41546,335.025662,-9.0560881,0.897907494921948
K2-73 b,b,7.49491004,0.058,2.6,809.0,3.83,1.05721,1.061,5865.0,4.41546,335.025662,-9.0560881,0.897907494921948
K2-79 b,b,10.993948,0.1357,3.14685573,809.0,2.7888,1.038427,1.06195,5839.0,4.41,55.2559307,13.5191871,0.9483663902589017
K2-98 b,b,10.136,0.0869,2.6,809.0,4.94496,1.50696,1.23,6283.0,4.17177,126.4882114,11.5110933,0.3594180942836943
K2-180 b,b,8.867259,0.1357,4.4,809.0,0.6020314999999999,0.65,0.88,5293.0,4.4905,126.4643579,10.246577,3.2043695949021394
HIP 41378 b,b,15.5712,0.1357,2.9,809.0,2.7888,1.4,1.15,6199.0,4.18,126.6158279,10.0803708,0.4190962099125365
HIP 41378 c,c,31.6978,0.1357,2.56,809.0,2.7888,1.4,1.15,6199.0,4.18,126.6158279,10.0803708,0.4190962099125365
WASP-75 b,b,2.4841976,0.1357,2.6,809.0,2.7888,1.26,1.14,6100.0,4.29,342.3858995,-10.6754686,0.5698928601422931
K2-108 b,b,4.73360988,0.083,2.6,809.0,3.605,1.75896,0.964,5496.0,3.93163,123.3818484,16.419516,0.17713694229211316
K2-121 b,b,5.186,1.0779,2.6,809.0,1.77792,0.649127,0.74,4664.8,4.68264,126.9366624,17.5793267,2.7054698510786723
EPIC 211945201 b,b,19.492132,0.1357,6.0,809.0,3.5808,1.48,0.88,5293.0,4.4905,136.5741931,19.4020565,0.2714548003079778
K2-34 b,b,2.995633,0.1357,13.96,1559.0,2.7888,1.44,1.15,6071.0,4.18,127.5787231,22.2359194,0.3851326731824417
