kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass,koi_slogg,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_impact,koi_duration,koi_ingress,koi_dor
K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,9.48803557,615.8,2.26,793.0,93.59,5455.0,0.927,0.919,4.467,2,142.0,5.135849,28.47082,0.146,2.9575,,24.81
K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,54.4183827,874.8,2.83,443.0,9.11,5455.0,0.927,0.919,4.467,2,25.0,7.027669,20.109507,0.586,4.507,,77.9
K00753.01,,CANDIDATE,CANDIDATE,19.89913995,10829.0,14.6,638.0,39.3,5853.0,0.868,0.961,4.544,1,56.0,37.159767,187.4491,0.969,1.7822,,53.5
K00754.01,,FALSE POSITIVE,FALSE POSITIVE,1.736952453,8079.2,33.46,1395.0,891.96,5805.0,0.791,0.836,4.564,1,621.0,39.06655,541.8951,1.276,2.40641,,3.278
K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,2.525591777,603.3,2.75,1406.0,926.16,6031.0,1.046,1.095,4.438,1,515.0,4.749945,33.1919,0.701,1.6545,,8.75
K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,11.09432054,1517.5,3.9,835.0,114.81,6046.0,0.972,1.053,4.486,3,95.0,9.046456,55.204865,0.538,4.5945,,16.36
K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,4.13443512,686.0,2.77,1160.0,427.65,6046.0,0.972,1.053,4.486,3,240.0,5.500643,33.546658,0.762,3.1402,,6.96
K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,2.56658897,226.5,1.59,1360.0,807.74,6046.0,0.972,1.053,4.486,3,355.0,4.3886313,12.325094,0.755,2.429,,5.54
K00114.01,,FALSE POSITIVE,FALSE POSITIVE,7.36178958,233.7,39.21,1342.0,767.22,6227.0,1.958,1.358,3.986,1,185.0,10.964684,46.15308,1.169,5.022,,2.4
K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,16.06864674,4914.3,5.76,600.0,30.75,5031.0,0.848,0.801,4.485,3,69.0,20.457163,137.44981,0.052,3.5347,,36.85
K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,2.470613377,14230.9,13.04,1339.0,761.46,5820.0,0.964,0.971,4.457,1,432.0,544.1701,6468.04,0.818,1.74319,,8.3977
K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,2.204735417,6674.7,16.1,2048.0,4148.92,6440.0,1.952,1.449,4.019,1,611.0,232.27,3862.1846,0.224,3.88864,,4.602
K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,3.522498429,9145.7,14.59,1521.0,1264.67,6225.0,1.451,1.132,4.169,1,384.0,130.83832,1725.5824,0.631,3.19843,,7.541
K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,3.709214104,131.1,1.16,1206.0,500.46,5833.0,1.022,0.974,4.407,2,352.0,4.8657312,41.28873,0.051,2.6302,,10.888
K00742.01,,FALSE POSITIVE,FALSE POSITIVE,11.521446064,17984.3,150.51,753.0,75.88,5795.0,0.848,0.938,4.554,1,96.0,92.901566,628.3708,2.483,3.6399,,20.75
K00743.01,,FALSE POSITIVE,FALSE POSITIVE,19.40393776,8918.7,7.18,523.0,17.69,5043.0,0.68,0.657,4.591,1,71.0,49.468765,320.90817,0.804,12.2155,,9.099
K00744.01,,FALSE POSITIVE,FALSE POSITIVE,19.221388942,74284.0,49.29,698.0,55.97,6117.0,0.947,1.025,4.496,2,55.0,387.658,2174.4263,1.065,4.79843,,31.323
K00745.01,,FALSE POSITIVE,FALSE POSITIVE,16.46983774,10478.9,7.94,595.0,29.61,5152.0,0.786,0.741,4.517,1,66.0,43.1625,258.8247,0.292,9.4378,,14.05
K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,9.27358173,1288.3,2.47,649.0,41.85,4856.0,0.696,0.676,4.583,1,144.0,9.616924,71.48005,0.387,3.2875,,20.65
K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,6.02930329,1912.7,2.85,678.0,50.04,4537.0,0.672,0.761,4.648,1,215.0,6.876831,52.36939,0.258,1.5821,,29.31
K00748.01,,FALSE POSITIVE,FALSE POSITIVE,2.696370652,397.9,1.58,1066.0,305.34,4989.0,0.819,0.781,4.504,1,501.0,5.508401,34.570904,0.044,3.6129,,5.827
K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,5.349553819,831.0,2.55,919.0,168.99,5185.0,0.91,0.831,4.44,3,247.0,6.0370364,48.504196,0.092,3.0278,,13.8015
K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,3.94105221,363.3,1.7,1018.0,253.15,5185.0,0.91,0.831,4.44,3,322.0,4.5118856,22.749151,0.226,2.5984,,11.51
K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,8.10904807,217.4,1.3,800.0,97.03,5185.0,0.91,0.831,4.44,3,141.0,4.434382,9.776852,0.025,3.596,,17.46
K00113.01,,FALSE POSITIVE,FALSE POSITIVE,386.6030528,24926.6,41.5,297.0,1.84,5543.0,1.58,1.103,4.081,1,,,,0.9765,6.8057,,332.0
K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,21.67699193,857.2,2.95,530.0,18.64,4954.0,0.828,0.791,4.5,4,62.0,5.911944,24.54073,0.896,3.4555,,24.6
K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,4.99677968,934.7,2.78,917.0,166.95,5339.0,0.847,0.931,4.552,1,208.0,4.132564,24.283327,0.71,2.1717,,13.14
K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,4.280963604,750.8,2.3,1012.0,247.87,5644.0,0.831,0.928,4.564,1,311.0,6.7006826,52.913242,0.424,2.875,,10.64
K00770.01,,FALSE POSITIVE,FALSE POSITIVE,1.50635409,2211.7,4.53,1452.0,1054.12,5714.0,0.831,0.926,4.563,1,882.0,9.787732,130.6654,0.86,1.5155,,4.67
K00771.01,,FALSE POSITIVE,FALSE POSITIVE,670.645531,18090.6,14.14,196.0,0.35,5520.0,0.983,1.03,4.466,1,3.0,70.64302,96.96236,0.701,53.412,,85.24
K00772.01,,FALSE POSITIVE,FALSE POSITIVE,61.2563628,5123.3,39.87,505.0,15.43,6144.0,1.091,1.093,4.402,1,13.0,31.079844,73.10389,1.248,7.633,,29.1
K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,38.3775486,724.2,2.82,529.0,18.53,5481.0,1.036,0.915,4.369,1,37.0,10.352898,31.946487,0.468,5.588,,47.8
K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,41.19725502,2213.9,3.86,439.0,8.76,5031.0,0.848,0.801,4.485,3,26.0,11.918161,37.877567,0.045,4.6297,,70.75
K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,6.252962249,1036.9,2.65,823.0,108.3,5031.0,0.848,0.801,4.485,3,167.0,5.834264,35.96252,0.105,2.5819,,18.94
K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,16.01308419,1121.9,3.1,593.0,29.31,5015.0,0.826,0.785,4.499,1,65.0,8.468995,31.066507,0.799,3.2554,,24.7
K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,32.62876672,1804.8,3.36,506.0,15.55,5586.0,0.798,0.844,4.56,2,34.0,14.0889,61.372303,0.021,4.7971,,53.95
K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,91.7732862,652.0,2.12,359.0,3.92,5586.0,0.798,0.844,4.56,2,11.0,6.9461374,14.678595,0.606,6.473,,89.4
K00760.01,Kepler-1976 b,CONFIRMED,CANDIDATE,4.959319244,9802.0,12.21,1103.0,349.4,5712.0,1.082,0.976,4.359,1,269.0,58.764744,670.4895,0.831,2.22739,,12.386
K00761.01,,FALSE POSITIVE,FALSE POSITIVE,2.701287801,860.4,6.54,1222.0,527.81,5550.0,0.91,0.889,4.468,1,387.0,5.044661,39.745068,1.016,3.3827,,2.22
K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,4.49876511,460.0,2.1,1133.0,389.62,6075.0,0.969,1.048,4.486,1,238.0,4.435833,26.501581,0.312,3.7362,,8.95
K00763.01,,FALSE POSITIVE,FALSE POSITIVE,19.651209505,11766.3,12.42,730.0,67.03,6074.0,1.063,1.014,4.391,1,59.0,85.46643,509.4985,0.723,5.2514,,23.98
K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,5.412203927,601.6,2.94,1093.0,337.68,5779.0,1.087,0.941,4.339,3,244.0,46.475086,163.47614,0.787,2.9472,,9.25
K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,41.43958662,2793.1,5.5,516.0,16.72,5468.0,1.046,0.93,4.367,1,33.0,27.788597,124.52492,0.355,10.5989,,29.47
K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,8.35389523,1041.6,2.52,790.0,91.9,5592.0,0.787,0.862,4.582,1,127.0,5.6967807,36.34974,0.023,2.2514,,29.18
