Row,Ensemble_Prediction,Extra Trees,LightGBM,Optimized Random Forest,Optimized XGBoost
1,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
2,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
3,CANDIDATE,FALSE POSITIVE,CANDIDATE,CANDIDATE,CANDIDATE
4,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
5,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
6,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
7,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
8,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
9,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
10,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
11,CONFIRMED,FALSE POSITIVE,CONFIRMED,CONFIRMED,CONFIRMED
12,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
13,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
14,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
15,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
16,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
17,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
18,CONFIRMED,CONFIRMED,FALSE POSITIVE,CONFIRMED,FALSE POSITIVE
19,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
20,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
21,CONFIRMED,CONFIRMED,FALSE POSITIVE,CONFIRMED,FALSE POSITIVE
22,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
23,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
24,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
25,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
26,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
27,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
28,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
29,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
30,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
31,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
32,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
33,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
34,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
35,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
36,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
37,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
38,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
