toi,tid,tfopwg_disp,toipfx,st_tmag,st_rad,st_teff,st_logg,st_dist,toi_created,ra,dec
1049.01,16288184.0,KP,1049.0,11.0657,1.2714601,6599.0,4.21017,314.995,2019-07-15 19:20:04,253.768848,-28.710584
173.0102,144065872.0,KP,173.0,9.4995,1.23824,5630.0,4.37759,137.544,2018-09-05 18:49:20,337.457824,-48.003099
1050.01,66818296.0,KP,1050.0,11.0261,1.57,6650.0,4.1639,405.908,2019-07-15 19:20:05,239.962248,-28.061794
1051.01,259863352.0,FA,1051.0,7.356738,1.56486,5625.0,4.438,53.19149,2019-08-16 20:20:45,40.365939,-71.462749
1052.01,317060587.0,CP,1052.0,9.0197,1.58,5958.2,4.34,129.804,2019-08-16 20:20:47,337.510274,-75.646561
1053.01,112395568.0,FP,1053.0,8.8849,3.86959,5664.0,3.545051,263.729,2019-08-16 20:20:42,290.977117,-33.351416
1054.01,366989877.0,CP,1054.0,8.4362,1.17,6122.0,4.30881,88.4343,2019-08-16 20:20:48,302.114174,-54.317501
1055.01,320004517.0,CP,1055.0,8.0888,0.974669,5783.54,4.49925,57.2651,2019-08-16 20:20:47,293.286615,-54.532728
1056.01,421894914.0,PC,1056.0,9.6663,1.36963,6124.3,4.38,168.354,2019-08-16 20:20:50,339.258703,-76.917605
1057.01,323132914.0,PC,1057.0,9.4091,0.943356,5599.0,4.46138,98.2855,2019-08-16 20:20:47,127.996917,-78.407564
1058.01,31553893.0,PC,1058.0,9.3781,3.4475601,5785.0,4.344,338.831,2019-08-16 20:20:41,288.911772,-31.790813
1059.01,380783252.0,PC,1059.0,9.7825,0.94,5509.0,4.39758,98.8783,2019-08-16 20:20:49,269.714503,-60.922727
173.0102,38846515.0,KP,173.0,10.3157,1.77,6900.0,4.438,364.411,2019-05-07 17:42:35,68.959816,-64.027039
1060.01,101230735.0,APC,1060.0,9.6652,1.14,5687.9,4.6,128.491,2019-08-16 20:20:42,299.290995,-48.934476
1061.01,253990973.0,FP,1061.0,9.7345,1.21935,5525.0,4.25342,133.171,2019-08-16 20:20:44,284.688908,-41.242483
1062.01,299799658.0,CP,1062.0,9.478,0.89,5394.0,4.50942,82.1733,2019-08-16 20:20:47,38.120968,-78.023683
1063.01,406976746.0,PC,1063.0,9.0689,0.791742,5552.0,4.61783,61.1201,2019-08-16 20:20:49,230.555493,-80.47376836
1064.01,79748331.0,CP,1064.0,10.0059,0.737189,4803.0,4.52079,68.0726,2019-08-16 20:20:42,296.003935,-47.56203
1064.02,79748331.0,CP,1064.0,10.0059,0.737189,4803.0,4.52079,68.0726,2019-08-16 20:20:42,296.003935,-47.56203
1065.01,7088246.0,KP,1065.0,13.2851,1.2,5780.0,4.32928,639.004,2019-08-16 20:20:41,286.36675,-50.06735
1066.01,201604954.0,KP,1066.0,11.9707,1.07,5670.0,4.3925,353.891,2019-08-16 20:20:44,285.096517,-54.893341
1067.01,201642601.0,KP,1067.0,13.1686,0.76701,4351.0,4.438,263.609,2019-08-16 20:20:44,288.672005,-59.57935
1068.01,6663331.0,KP,1068.0,13.2887,0.92,5498.0,4.47934,535.383,2019-08-16 20:20:41,284.399762,-49.138513
1069.01,31858843.0,KP,1069.0,10.4293,1.22,5703.0,4.25824,197.996,2019-08-16 20:20:41,289.479212,-32.860124
173.0102,92352620.0,KP,173.0,9.6433,1.71,6153.0,4.18077,211.211,2018-09-05 18:49:20,313.783239,-34.135751
1070.01,31858844.0,FP,1070.0,14.808398,1.28,5740.0,4.29219,365.00800000000004,2019-08-16 20:20:41,289.478541,-32.861327
1071.01,120247528.0,KP,1071.0,11.5803,1.11499,5639.0,4.37172,290.198,2019-08-16 20:20:42,280.184169,-58.459388
1072.01,140830390.0,FP,1072.0,11.7106,2.4494,5765.0,4.34773,703.878,2019-08-16 20:20:43,75.627307,-72.913998
1073.01,158297421.0,CP,1073.0,13.6699,0.6983,4444.0,4.438,300.67,2019-08-16 20:20:43,287.484402,-49.664942
1074.01,327301957.0,PC,1074.0,10.6339,0.741671,5206.0,4.63095,107.356,2019-08-16 20:20:47,310.761004,-72.010267
1075.01,351601843.0,CP,1075.0,11.1186,0.580337,4046.0,4.60963,61.4592,2019-08-16 20:20:48,309.971209,-65.449699
1076.01,360742636.0,KP,1076.0,11.2474,1.03997,5659.0,4.44653,248.46,2019-08-16 20:20:48,294.633694,-55.330269
1077.01,369960846.0,PC,1077.0,13.461,0.984326,5192.0,4.4617,463.683,2019-08-16 20:20:48,173.810798,-80.47376836
1078.01,370133522.0,CP,1078.0,10.1165,0.390989,3325.0,4.88693,23.606086,2019-08-16 20:20:48,306.928646,-56.462287
1000.01,50365310.0,FP,1000.0,9.604,2.16986,9598.49,4.19,485.735,2019-07-24 15:58:33,112.357708,-12.69596
1001.01,88863718.0,PC,1001.0,9.42344,2.01,7070.0,4.03,295.862,2019-07-24 15:58:33,122.580465,-5.513852
1002.01,124709665.0,FP,1002.0,9.299501,4.336771595999974,8924.0,4.33,943.109,2019-07-24 15:58:33,104.726966,-10.580455
1003.01,106997505.0,FP,1003.0,9.3003,1.23434,5388.5,4.15,1786.5281999999818,2019-07-24 15:58:33,110.559945,-25.207017
1004.01,238597883.0,FP,1004.0,9.1355,2.15,9219.0,4.14,356.437,2019-07-24 15:58:33,122.178195,-48.802811
1005.01,169904935.0,FP,1005.0,9.1309,1.09,5613.0,4.33,100.711,2019-07-24 15:58:33,120.704811,-11.101521
1006.01,156115721.0,FP,1006.0,9.2386,1.53429,6616.0,4.33,365.00800000000004,2019-07-24 15:58:33,124.359239,-27.273521
1007.01,65212867.0,PC,1007.0,8.87759,2.7,6596.0,3.71,283.291,2019-07-24 15:58:33,112.752393,-4.463359
1008.01,440801822.0,FP,1008.0,8.9362,1.57,6858.5,4.2,144.297,2019-07-24 15:58:33,109.382839,13.395219
1009.01,107782586.0,PC,1009.0,8.4331,1.23434,8868.7,4.33,866.147,2019-07-24 15:58:33,111.667845,-24.462111
173.0102,231663901.0,KP,173.0,12.4069,0.890774,5600.0,4.48851,375.31,2018-09-05 18:49:20,318.737012,-55.871863
1010.01,139853601.0,FP,1010.0,8.45086,1.0,9438.0,4.33,485.122,2019-07-24 15:58:33,112.293981,-21.832912
1011.01,114018671.0,PC,1011.0,8.2388,0.94,5413.7,4.46,52.62,2019-07-24 15:58:33,113.984761,-32.841999
1012.01,427508467.0,APC,1012.0,8.12718,2.72,8928.0,3.92,295.959,2019-07-24 15:58:33,117.095285,6.785064
1013.01,97700520.0,FP,1013.0,7.6095,1.23434,8868.7,4.33,510.295,2019-07-24 15:58:33,107.286063,-31.933523
1014.01,96246348.0,FP,1014.0,7.678,1.23434,9307.0,4.33,224.672,2019-07-24 15:58:33,103.561602,-34.22282
1015.01,155044736.0,FP,1015.0,10.7069,4.336771595999974,4897.0,4.33,906.496,2019-04-01 16:51:56,122.895964,-27.971896
1016.01,175310067.0,FP,1016.0,10.6257,1.53641,7601.0,4.31,368.646,2019-04-01 16:52:03,116.110771,-36.098285
1017.01,182943944.0,FP,1017.0,10.6019,1.61,6995.2,4.07,406.997,2019-07-24 17:08:12,124.726411,-37.78325
1018.01,291555748.0,FP,1018.0,10.6254,2.0,5889.0,3.86,360.541,2019-04-01 16:52:01,111.716019,-50.266567
1019.01,341420329.0,PC,1019.0,10.6348,1.56203,7645.0,4.3,399.544,2019-07-24 17:08:12,120.147994,-54.878552
173.0102,149603524.0,KP,173.0,9.7109,1.21,6280.0,4.32092,175.631,2019-05-07 17:42:37,87.139821,-63.988329
1020.01,140706664.0,FP,1020.0,10.7173,1.23434,8734.2,4.1,906.827,2019-07-24 17:08:12,128.381976,-43.828421
1021.01,143994283.0,FP,1021.0,10.5551,1.22,6022.6,4.52,235.974,2019-07-24 17:08:12,119.30075,-42.999149
1022.01,47384844.0,FA,1022.0,8.72924,1.41,6084.0,4.13,120.666,2019-06-04 14:32:44,162.96491,-5.788708
1023.01,238374636.0,FP,1023.0,9.697,2.99,5050.8,3.56,316.398,2019-07-24 18:44:12,120.837688,-51.345626
1024.01,141482386.0,FP,1024.0,10.0814,4.336771595999974,4709.0,4.33,692.266,2019-07-24 18:44:12,86.820714,-72.422611
1025.01,297967252.0,PC,1025.0,7.356738,1.23434,8598.7,4.33,129.838,2019-07-24 18:44:12,142.521159,-51.517114
1026.01,388624270.0,FP,1026.0,9.9138,0.853898,5690.0,4.58,105.677,2019-06-11 14:45:00,125.434634,-51.759442
1027.01,20318757.0,PC,1027.0,10.2103,0.68,4272.0,4.6,56.3449,2019-07-24 18:44:12,167.133275,-29.653135
1027.02,20318757.0,PC,1027.0,10.2103,0.68,4272.0,4.6,56.3449,2021-06-03 22:37:59,167.133275,-29.653135
1027.03,20318757.0,PC,1027.0,10.2103,0.68,4272.0,4.6,56.3449,2023-05-18 23:08:27,167.133275,-29.653135
1028.01,447283466.0,FP,1028.0,7.9059,0.68,4634.0,4.64,23.7748,2019-07-24 18:44:12,157.098337,-51.705409
1029.01,374908020.0,FP,1029.0,7.356738,1.23434,5800.55,4.33,365.00800000000004,2019-06-11 14:45:03,88.73909,-65.958839
173.0102,336732616.0,KP,173.0,11.5232,1.4,6351.0,4.22896,411.211,2018-09-05 18:49:20,312.457488,-24.428694
1030.01,464296022.0,FP,1030.0,9.5706,1.07,4807.6,4.17,78.41273,2019-07-24 18:44:12,155.831478,-57.590248
1031.01,304021498.0,FP,1031.0,9.7318,1.92,6415.4,3.98,270.771,2019-06-25 15:58:39,140.88389,-67.026006
