object_name,kepler_name,disposition,koi_pdisposition,orbital_period,transit_depth,planet_radius,koi_teq,koi_insol,stellar_teff,stellar_radius,koi_smass,koi_slogg,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,impact_parameter,transit_duration,koi_ingress,koi_dor,source,tid,toipfx,st_tmag,st_logg,st_dist,toi_created,ra,dec,pl_name,pl_letter,pl_eqt,st_mass
K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,9.48803557,615.8,2.26,793.0,93.59,5455.0,0.927,0.919,4.467,2.0,142.0,5.135849,28.47082,0.146,2.9575,,24.81,Kepler,,,,,,,,,,,,
K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,54.4183827,874.8,2.83,443.0,9.11,5455.0,0.927,0.919,4.467,2.0,25.0,7.027669,20.109507,0.586,4.507,,77.9,Kepler,,,,,,,,,,,,
K00753.01,,CANDIDATE,CANDIDATE,19.89913995,10829.0,14.6,638.0,39.3,5853.0,0.868,0.961,4.544,1.0,56.0,37.159767,187.4491,0.969,1.7822,,53.5,Kepler,,,,,,,,,,,,
K00754.01,,FALSE POSITIVE,FALSE POSITIVE,1.736952453,8079.2,33.46,1395.0,891.96,5805.0,0.791,0.836,4.564,1.0,621.0,39.06655,541.8951,1.276,2.40641,,3.278,Kepler,,,,,,,,,,,,
K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,2.525591777,603.3,2.75,1406.0,926.16,6031.0,1.046,1.095,4.438,1.0,515.0,4.749945,33.1919,0.701,1.6545,,8.75,Kepler,,,,,,,,,,,,
K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,11.09432054,1517.5,3.9,835.0,114.81,6046.0,0.972,1.053,4.486,3.0,95.0,9.046456,55.204865,0.538,4.5945,,16.36,Kepler,,,,,,,,,,,,
K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,4.13443512,686.0,2.77,1160.0,427.65,6046.0,0.972,1.053,4.486,3.0,240.0,5.500643,33.546658,0.762,3.1402,,6.96,Kepler,,,,,,,,,,,,
K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,2.56658897,226.5,1.59,1360.0,807.74,6046.0,0.972,1.053,4.486,3.0,355.0,4.3886313,12.325094,0.755,2.429,,5.54,Kepler,,,,,,,,,,,,
K00114.01,,FALSE POSITIVE,FALSE POSITIVE,7.36178958,233.7,39.21,1342.0,767.22,6227.0,1.958,1.358,3.986,1.0,185.0,10.964684,46.15308,1.169,5.022,,2.4,Kepler,,,,,,,,,,,,
K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,16.06864674,4914.3,5.76,600.0,30.75,5031.0,0.848,0.801,4.485,3.0,69.0,20.457163,137.44981,0.052,3.5347,,36.85,Kepler,,,,,,,,,,,,
K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,2.470613377,14230.9,13.04,1339.0,761.46,5820.0,0.964,0.971,4.457,1.0,432.0,544.1701,6468.04,0.818,1.74319,,8.3977,Kepler,,,,,,,,,,,,
K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,2.204735417,6674.7,16.1,2048.0,4148.92,6440.0,1.952,1.449,4.019,1.0,611.0,232.27,3862.1846,0.224,3.88864,,4.602,Kepler,,,,,,,,,,,,
K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,3.522498429,9145.7,14.59,1521.0,1264.67,6225.0,1.451,1.132,4.169,1.0,384.0,130.83832,1725.5824,0.631,3.19843,,7.541,Kepler,,,,,,,,,,,,
K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,3.709214104,131.1,1.16,1206.0,500.46,5833.0,1.022,0.974,4.407,2.0,352.0,4.8657312,41.28873,0.051,2.6302,,10.888,Kepler,,,,,,,,,,,,
K00742.01,,FALSE POSITIVE,FALSE POSITIVE,11.521446064,17984.3,150.51,753.0,75.88,5795.0,0.848,0.938,4.554,1.0,96.0,92.901566,628.3708,2.483,3.6399,,20.75,Kepler,,,,,,,,,,,,
