pl_name,pl_letter,pl_orbper,pl_trandep,pl_rade,pl_eqt,pl_trandur,st_rad,st_mass,st_teff,st_logg,ra,dec
EPIC 220192485.01,,50.69369,1.1041,8.85,,4.4328,0.781,,,,19.1306968,-0.290103
K2-151 b,b,3.835376,,1.5,,1.5408,0.45,,,,19.3047733,9.5012663
K2-369 b,b,5.7619248,0.0226,1.37,,2.2,0.83,,5350.0,,329.7262534,-10.8750666
K2-232 b,b,11.168459,0.7764,11.859122,1001.0,5.03016,1.233,1.039,5888.0,4.273,73.7667927,18.654323
EPIC 211946007.01,,1.982809,21.3762,,,1.3632,0.291,,3330.0,4.958,130.6641653,19.4143598
K2-274 b,b,14.130142,0.0942,2.41,,,0.794,,,,129.2823699,20.3992512
EPIC 211946007.01,,1.9828041248,13.21050435,10.89107018,543.47,1.1139386,0.293047,,3213.0,4.93347,130.6641653,19.4143598
K2-283 b,b,1.921076,,3.8,,1.7496,0.86,,,,13.1943679,9.6929181
K2-381 b,b,7.939256,,1.08322371,,,0.645652,,4661.0,4.66,288.0267612,-21.0075789
K2-381 c,c,16.034656,,2.0,,,0.675,0.754,4473.0,4.653,288.0267612,-21.0075789
K2-277 b,b,6.3297696,0.042,,,2.486,0.975383,1.008,5673.0,4.46318,202.0161895,-15.9379749
K2-73 b,b,7.49543,,2.45,,3.62,1.06,1.05,5922.0,4.409,335.025662,-9.0560881
K2-85 b,b,0.684557,,1.37,,,0.675849,0.69834,4376.21,,59.464829,18.4649505
K2-73 b,b,7.495,,,,3.528,1.05721,1.061,5865.0,4.41546,335.025662,-9.0560881
K2-73 b,b,7.49491004,0.058,,,3.83,1.05721,1.061,5865.0,4.41546,335.025662,-9.0560881
K2-79 b,b,10.993948,,3.14685573,,,1.038427,1.06195,5839.0,4.41,55.2559307,13.5191871
K2-98 b,b,10.136,0.0869,,,4.94496,1.50696,1.23,6283.0,4.17177,126.4882114,11.5110933
K2-180 b,b,8.867259,,4.4,,0.3,0.65,,,,126.4643579,10.246577
HIP 41378 b,b,15.5712,,2.9,,,1.4,1.15,6199.0,4.18,126.6158279,10.0803708
HIP 41378 c,c,31.6978,,2.56,,,1.4,1.15,6199.0,4.18,126.6158279,10.0803708
WASP-75 b,b,2.4841976,,,,,1.26,1.14,6100.0,4.29,342.3858995,-10.6754686
K2-108 b,b,4.73360988,0.083,,,3.605,1.75896,0.964,5496.0,3.93163,123.3818484,16.419516
K2-121 b,b,5.186,1.0779,,,1.77792,0.649127,0.74,4664.8,4.68264,126.9366624,17.5793267
EPIC 211945201 b,b,19.492132,,6.0,,3.5808,1.48,,,,136.5741931,19.4020565
K2-34 b,b,2.995633,,13.96,1559.0,,1.44,1.15,6071.0,4.18,127.5787231,22.2359194
K2-136 d,d,25.575065,,1.45,373.0,3.12,0.66,0.74,4499.0,4.66,67.4128615,22.8825674
K2-100 b,b,1.674,0.0589,,,1.398,1.21742,1.153,6115.49,4.32901,129.6010863,20.1060074
K2-100 b,b,1.673847,,3.6,,1.5408,1.23,,,,129.6010863,20.1060074
K2-70 b,b,13.9782,0.1076,2.69,,3.444,0.783,,,,338.4759328,-10.0849917
K2-336 b,b,21.1976,0.0263,1.33,,5.04,0.7747,,,,133.8382032,16.7940663
K2-68 b,b,8.05423,0.0668,1.73,,2.976,0.655,,,,334.0195539,-10.5673649
K2-123 b,b,30.953,0.1646,,,3.23592,0.609039,0.595401,3856.0,4.64359,134.4441404,21.4532748
K2-5 c,c,10.93406,,1.92,511.0,,0.52,0.53,4102.0,,169.3034598,-1.8778254
EPIC 211537087.03,,41.9,,2.28,82.0,,0.86,0.9,5568.0,4.52,128.3219134,13.6613758
K2-386 b,b,7.47331,0.0661,2.74,,3.5568,1.012,,,,18.2999964,7.0130302
K2-318 b,b,7.01,0.085,1.66,456.0,,0.552,0.561,3851.0,4.701,232.4461375,-17.557463
K2-123 b,b,30.96028326,0.202,,,4.117,0.609039,0.595401,3856.0,4.64359,134.4441404,21.4532748
K2-237 b,b,2.18053332,1.416,16.06246934,1759.0,2.92728,1.236,1.256,6180.0,4.353,253.7688479,-28.7105836
K2-375 b,b,14.443,0.0245,,,6.03504,1.54893,1.05,5826.08,4.0792,130.5013137,20.3593003
K2-35 c,c,5.60906,,1.69,,1.9,0.601,0.663,4426.0,4.697,170.1031027,1.2858679
K2-123 b,b,30.954,0.2117,3.07,,3.768,0.637,,,,134.4441404,21.4532748
EPIC 220674823 c,c,13.338687,,2.8,,3.4392,0.97,,,,13.0800239,10.7947051
EPIC 206061524.01,,5.8796123,0.922,6.5,,2.53,0.62,,4089.0,,335.057616,-13.1147717
K2-39 b,b,4.6049829,0.0432,1.67,,8.79,0.74,,4843.0,,338.3682095,-9.0229405
EPIC 206061524.01,,5.8797,,,,2.232,0.807445,0.643,4111.0,4.43205,335.057616,-13.1147717
K2-39 b,b,4.6028,,,,8.184,3.12057,,4911.0,,338.3682095,-9.0229405
HATS-9 b,b,1.9153073,,11.937585,1823.0,3.4968,1.503,1.03,5366.0,4.095,290.8101704,-20.1663771
K2-39 b,b,4.60543,,8.2,,,3.88,1.53,4881.0,3.44,338.3682095,-9.0229405
K2-39 b,b,4.60497,,7.09,,0.0,2.59,1.17,4993.0,3.682,338.3682095,-9.0229405
EPIC 206061524.01,,5.87975,,3.76,,2.43792,0.393,,4056.0,4.883,335.057616,-13.1147717
EPIC 206061524.01,,5.87913354,0.841,,,2.427,0.807445,0.643,4111.0,4.43205,335.057616,-13.1147717
K2-39 b,b,4.60497,,5.71,1670.0,,2.93,1.192,4912.0,3.58,338.3682095,-9.0229405
HATS-9 b,b,1.915298,,17.2,,3.5592,1.94,,,,290.8101704,-20.1663771
HATS-11 b,b,3.619192,,10.2,,4.4208,0.89,,,,289.4007603,-22.3900092
HATS-12 b,b,3.14272,,7.8,,4.4808,1.22,,,,289.202402,-19.3559227
EPIC 219388192.01,,5.29266,,9.6,,3.3,1.0,,,,289.3917955,-16.8717267
EPIC 218621322.01,,11.587502,,21.9,,3.9,1.0,,,,285.4688322,-18.4681649
HATS-36 b,b,4.175187,,13.4,,3.3792,1.15,,,,291.4787013,-23.2028183
HATS-36 b,b,4.1752387,1.4,13.843115,1356.0,3.46272,1.155,1.222,6149.0,4.4,291.4787013,-23.2028183
HATS-9 b,b,1.915311,,13.1414316,,3.50832,1.58042,0.963,5494.0,4.02415,290.8101704,-20.1663771
HATS-11 b,b,3.6191634,,16.667783,,4.36848,1.46198,1.06,5871.0,4.13349,289.4007603,-22.3900092
HATS-12 b,b,3.1428347,,15.513256,,4.52376,,,,,289.202402,-19.3559227
HATS-12 b,b,3.142846,,8.84505104,,,1.29462,1.214365,6235.0,4.22,289.202402,-19.3559227
EPIC 219388192.01,,5.292605,,9.9778729,,,0.969695,,5689.0,4.43,289.3917955,-16.8717267
HATS-11 b,b,3.6191613,1.18,16.92559,1637.0,4.3656,1.444,1.0,6060.0,4.118,289.4007603,-22.3900092
HATS-12 b,b,3.142833,0.47,15.13215,2097.0,4.5576,2.21,1.489,6408.0,3.923,289.202402,-19.3559227
K2-39 b,b,4.60543,0.037,6.27704,,,2.97,0.66,4881.0,3.44,338.3682095,-9.0229405
HATS-36 b,b,4.175186,,12.92,1203.0,,1.1,1.1,5950.0,4.4,291.4787013,-23.2028183
HATS-9 b,b,1.915291,,13.85,1746.0,,1.56,1.1,5599.0,4.1,290.8101704,-20.1663771
HATS-11 b,b,3.619188,,18.03,1596.0,,1.54,1.33,6563.0,4.19,289.4007603,-22.3900092
HATS-12 b,b,3.142702,,7.76,1446.0,,1.17,1.16,6357.0,4.36,289.202402,-19.3559227
HATS-9 b,b,1.9153073,,11.937585,,,1.503,1.03,5366.0,,290.8101704,-20.1663771
EPIC 214888033.01,,7.457597,0.573,8.7,,1.872,1.037,,,,280.8765309,-25.4110574
EPIC 216231580.01,,3.90518,1.573,16.3,,3.444,1.282,,,,295.157014,-22.7217407
HATS-9 b,b,1.9153196,0.847,14.42,,3.5496,1.592,,,,290.8101704,-20.1663771
HATS-11 b,b,3.619167,1.3734,17.7,,4.3896,1.51,,,,289.4007603,-22.3900092
HATS-36 b,b,4.175235,1.3791,12.77,,3.432,1.0878,,,,291.4787013,-23.2028183
HATS-12 b,b,3.142811,0.4291,5.69,,4.572,0.822,,,,289.202402,-19.3559227
EPIC 219388192.01,,5.292627,1.0517,10.98,,3.2952,1.058,,,,289.3917955,-16.8717267
EPIC 206061524.01,,5.879829,0.9542,6.97,,2.5296,0.701,,,,335.057616,-13.1147717
K2-329 b,b,12.4551225,,8.675766,650.0,3.621,0.822,0.901,5282.0,4.566,351.1353785,-5.1641451
K2-399 b,b,0.759978,,6.049,,1.1,1.541,0.783,5690.0,3.956,158.0734448,2.2378452
K2-399 b,b,0.759978,,6.049,,,1.541,0.783,5690.0,3.956,158.0734448,2.2378452
K2-268 c,c,9.327527,,2.69,696.0,3.35,0.78,0.84,5106.0,4.58,133.7094899,11.8482712
K2-18 b,b,32.9418,,2.28,,2.682,0.4,0.42,3496.0,4.858,172.560141,7.5878315
K2-74 b,b,19.565557,,2.95906745,,,1.086156,0.987182,5929.0,4.24,339.9192984,-8.7145697
K2-198 c,c,3.3596055,,1.423,1229.9,,0.757,0.799,5212.9,,198.8436817,-6.4649888
WASP-47 d,d,9.0305419,0.107,3.06,,4.37,0.86,,5427.0,,331.203092,-12.019067
K2-110 b,b,13.85870316,0.126,,,3.747,0.71181,0.811,4936.0,4.64236,207.3497402,-12.2849182
K2-3 b,b,10.054374,0.145,2.4,,2.61,0.58,,3927.0,,172.3353708,-1.4551364
K2-273 b,b,11.7195663,,3.05,849.0,,0.85,0.89,5161.0,4.53,129.7768928,19.0100046
K2-72 d,d,7.7599,,0.73,,1.45,0.232,0.217,3497.0,5.048,334.6227504,-9.6120084
